specObjID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,z
554013430588139520,17.19416,16.9995,16.87976,16.70948,16.71785,17.17414,16.95343,16.85707,16.69398,16.70826,1.487476
1398387249300662272,23.81969,21.59336,19.96006,19.55627,19.47843,23.89138,21.60493,19.94164,19.53181,19.45628,4.209071
4808940146110689280,22.45811,21.99739,21.92034,21.89824,21.66428,22.13515,21.82397,21.74281,21.90416,21.36187,2.471658
8339660020610955264,22.17297,22.06709,21.81065,21.50973,20.80986,22.4437,22.05895,21.66611,21.40622,20.81835,0.8381119
5026145650543882240,22.91317,22.234,21.61582,20.70949,20.30471,21.40436,21.83282,20.67139,19.90128,19.49022,0.5977834
7321737374806503424,25.49098,23.18919,21.94947,20.70713,20.18187,25.81104,22.77426,21.2727,19.97989,18.56154,0.7474493
4117417971449262080,22.47672,22.90163,21.66767,20.93789,20.25098,21.71418,21.65339,20.53022,19.86654,19.08619,0.657493
7585377994698059776,21.39101,20.88491,20.46537,20.18167,19.96089,21.40553,20.88316,20.47659,20.19796,19.92707,2.032737
6431330044404756480,21.89519,21.40733,21.2921,21.21892,21.47331,21.71564,21.42723,21.29977,21.15622,21.247,0.9781173
5496917219584176128,21.39836,20.89505,20.91577,20.76039,20.47326,21.46467,20.85214,20.89143,20.71158,20.13096,2.273823
5206425146890055680,22.56161,21.85065,22.02885,22.28755,21.61201,22.40576,21.73737,21.9751,22.0241,21.31227,2.270758
5956059533813673984,21.97011,21.01099,20.78239,20.82059,20.46656,22.1076,20.98469,20.78976,20.80447,20.46561,2.536438
4718851110076084224,22.9714,22.32662,22.11254,21.79961,21.54663,20.88624,22.34179,21.96029,21.80932,21.38753,0.7913926
7974800280234160128,22.43472,21.85501,21.6454,21.72726,20.76339,22.23029,21.79454,21.64384,21.59997,20.48604,0.2576701
6092292874312544256,22.5317,21.93214,21.8283,21.62146,21.50021,22.71336,21.88469,21.72008,21.3949,21.00974,1.607175
4981152529620070400,22.59167,21.62309,21.62586,21.632,21.09187,21.99124,21.57647,21.53543,21.66235,20.81481,2.413498
6739638048038514688,21.34631,20.89308,20.77683,20.57655,20.11405,21.30503,20.87206,20.72335,20.36184,19.70398,0.7073982
5603639122180370432,20.88554,20.42188,20.15962,20.30143,19.8843,20.90762,20.42403,20.13438,20.21434,19.78282,0.8837944
7911934598807482368,20.90558,20.37436,20.25834,20.19517,20.04642,20.93534,20.32253,20.19884,20.15801,20.04851,2.666131
8262983104034699264,22.6918,21.74832,21.66505,20.93743,20.69754,22.76076,21.69937,21.59903,20.81317,20.3835,0.6706052
7178762925095186432,20.84123,20.05356,19.67092,19.52564,19.0959,20.85638,20.04715,19.66868,19.53232,19.05774,2.414579
5495737443808899072,21.93187,21.0417,20.79245,20.6606,20.39441,21.62855,20.98499,20.78736,20.6754,20.29826,2.71305
6152123350669520896,22.60885,22.4011,21.67566,20.63436,20.03078,22.18791,22.389,21.63417,20.64299,20.02648,1.709447
