specObjID,psfMag_g,psfMag_r,psfMag_i,cModelMag_g,cModelMag_r,cModelMag_i,class
5249058709183328256,22.00922,20.40027,19.75294,21.11901,19.40903,18.75636,1
1968153353720457216,21.93052,20.17845,19.4915,21.40754,19.17706,18.18694,1
6037266991340515328,22.77803,21.32895,20.59794,21.70963,20.58704,19.35628,1
6153211041758769152,23.41434,21.86232,20.83393,22.51203,20.83796,19.82839,1
5700518737347276800,21.58329,20.12642,19.51017,20.49054,18.68315,18.09323,1
4915685958101954560,23.82622,22.3403,21.14667,22.38164,21.41142,19.95051,1
5147708201772969984,23.00492,21.47804,20.50304,22.91696,20.69969,19.75863,1
6111453240091144192,22.57962,20.87251,20.01952,20.73603,20.28582,19.345,1
567625940352395264,18.87801,18.10742,17.59881,17.01465,16.04315,15.59609,1
2840751644541478912,19.81337,18.89024,18.53174,17.72442,16.85844,16.46172,1
1781331206973974528,19.9804,19.22374,18.69347,18.10532,17.25317,16.80071,1
6892982260464283648,23.15531,21.35642,20.33827,22.02042,20.56057,19.47421,1
1620325872101779456,21.87815,20.11339,19.47561,20.87563,19.03481,18.24714,1
1246475700274227200,20.52663,19.87327,19.33769,18.80201,18.07665,17.7001,1
2559234871910230016,18.84669,17.93467,17.52591,17.57492,16.65375,16.21716,1
1787964286182647808,19.65149,19.29567,18.86155,17.74269,17.35879,17.06549,1
7411859944922345472,22.80404,21.21822,20.31144,22.43086,20.91641,19.61354,1
5449582693732511744,21.97883,21.2085,20.49138,21.41829,20.42835,19.51418,1
7324224470041423872,22.64491,21.19773,20.3586,21.9547,20.34445,19.48071,1
7194767141051756544,22.36547,20.82927,20.22736,21.80801,20.47513,19.75753,1
738733861193672704,19.15395,18.08068,17.59813,18.5388,17.54892,17.08195,1
4867275841358983168,22.75863,21.36883,20.3826,22.12051,20.85581,19.83981,1
5968604963583750144,20.46058,19.10306,18.64407,19.47775,18.0698,17.57812,1
4603829549863202816,23.86065,22.35429,21.40338,23.84915,20.97081,19.74849,1
6166687756485062656,22.74662,21.59125,20.3459,22.44006,21.08587,19.75208,1
2248492540456101888,22.0843,20.37663,19.70694,21.00071,19.12921,18.4767,1
5802988548685230080,22.21501,20.57968,19.76381,21.38917,20.06845,19.13489,1
4484500929521577984,23.59187,21.84589,20.72436,23.14659,20.9574,19.7206,1
6607987469101756416,21.92944,20.31201,19.87723,20.97677,19.33757,18.71244,1
1825123663045748736,19.09449,18.76564,18.59258,17.56091,17.12535,16.80838,1
1982777687432783872,19.95948,19.24117,18.68987,18.1609,17.43923,17.05552,1
566478319772526592,18.26812,17.45934,17.00792,16.25096,15.44071,15.06142,1
2008714634575505408,19.73108,18.62619,18.19287,18.63247,17.47107,17.00739,1
1531330301437962240,19.533,19.56687,19.39646,18.09689,17.74145,17.48365,1
8250860986694299648,25.00592,22.12601,21.00794,23.65184,21.86913,20.47765,1
7457994350275522560,22.48731,21.15175,20.2749,21.76377,20.48857,19.60795,1
6130699915552813056,22.4749,20.69925,19.9066,20.13256,18.97031,18.56877,1
1381483904472475648,20.89878,19.38049,18.7864,19.53751,17.97753,17.45046,1
2365538034113341440,18.22745,17.34234,17.05026,17.0312,16.23628,15.86975,1
6461661711421861888,21.64346,19.84546,19.198,21.09806,19.21803,18.59307,1
2943104080932792320,19.77367,18.97182,18.59949,18.62583,17.70696,17.28022,1
6921072858291171328,22.23578,20.50187,19.90182,21.46798,19.42998,18.79593,1
1852122442403702784,19.90486,18.66417,18.23339,18.72898,17.55546,17.07006,1
758915398010693632,21.04827,20.43162,20.10843,20.79732,20.03621,19.58243,1
6636147885615017984,22.90959,21.30424,20.24794,22.03408,20.30847,19.63677,1
4307862186825019392,22.76978,21.2593,20.42295,22.32448,20.89804,19.66568,1
8009750181904576512,22.91684,21.9372,20.89265,22.26349,20.63816,19.6571,1
7745136487377334272,21.86488,20.18739,19.60751,20.61556,18.98733,18.45898,1
463998892472559616,20.80021,20.35815,20.10717,17.72493,17.25811,16.91124,1
1157568358606989312,20.93671,20.53325,20.28068,19.85076,19.34802,19.05149,1
7057358973922111488,22.91304,20.99928,20.17952,22.35142,20.62375,19.54432,1
7860049194764660736,22.82304,21.54873,20.53034,22.49055,20.92697,19.88064,1
6057427635926659072,23.81504,22.06374,20.71917,23.82886,21.65918,19.83017,1
1445807533770958848,20.07419,19.15416,18.79203,17.74761,17.06223,16.62256,1
809626248706811904,22.08327,20.26153,19.50323,20.76772,19.33316,18.6326,1
2268811246784505856,22.08317,20.36554,19.76751,20.29946,18.33952,17.85033,1
7298125084266000384,23.42761,21.49141,20.47306,19.67801,21.02417,19.76144,1
2199009018238756864,19.88844,18.67777,18.25534,18.07263,16.89941,16.46245,1
7336482375608233984,19.28974,18.46037,17.98458,17.21762,16.48048,16.06055,1
7576404881209749504,21.70037,20.19192,19.64248,20.65592,18.94543,18.40556,1
4230110770899906560,23.13209,22.0516,21.11938,21.73969,21.08825,19.96266,1
5352590099434106880,22.66129,21.2591,20.25739,21.86176,20.91506,19.76426,1
1754179597529802752,21.95527,20.35235,19.5469,21.0638,19.17723,18.61807,1
8359857774419179520,22.8862,21.84705,20.93684,22.34832,21.60731,20.80741,1
6359261718736728064,22.8447,21.81542,20.89837,20.92695,20.50379,19.65133,1
6933546542830383104,23.68842,21.65907,20.65273,20.84008,21.47317,19.7205,1
2395957946468034560,20.0405,19.32792,18.64658,18.26464,17.57323,17.13308,1
3128990816249341952,17.50064,16.68118,16.21248,15.97742,15.1899,14.77958,1
5046429161997660160,22.2189,20.49749,19.80894,21.16024,19.56494,18.83915,1
1732822128413140992,23.21542,21.97996,20.79896,22.46251,20.99,19.93593,1
7452344234663407616,21.58616,20.16229,19.43453,20.16951,18.58932,18.11913,1
1380446790146353152,19.54737,18.54978,18.14306,18.10131,17.0655,16.65216,1
7738483067673309184,22.79722,21.48277,20.57197,22.77396,20.67401,19.66678,1
5679297619131297792,21.57954,20.8382,19.96185,19.11645,20.39575,19.07956,1
6923418115838242816,23.46856,21.79831,20.80061,22.34597,21.67652,20.61192,1
5773805311866105856,22.16389,21.32093,20.4125,21.61529,19.82295,19.73531,1
2560435538892974080,18.77452,18.39011,18.13067,17.17009,16.46077,16.12308,1
436932756820224000,18.41722,17.6662,17.35341,17.30051,16.43406,16.05054,1
2053687943016507392,18.40624,17.58633,17.19276,16.49252,15.55886,15.1598,1
7663046672356405248,22.90312,21.61029,20.40274,20.85766,21.09807,19.80721,1
4807714465590734848,21.3065,19.66766,19.09492,19.82458,18.38006,17.73808,1
5774981238746705920,22.88714,21.72195,20.6284,22.69157,20.77077,19.78103,1
698203662446520320,19.40356,19.03296,18.73984,18.13044,17.63555,17.32794,1
464020052904011776,20.15346,19.17097,18.59884,18.91502,17.77396,17.33085,1
1813928981448124416,18.82851,17.87739,17.32415,16.8379,16.06445,15.59479,1
7280244000736079872,23.09342,21.54929,20.44551,22.65744,21.16664,19.75488,1
4332664971533676544,22.67177,21.03072,20.29613,22.09107,20.20639,19.44644,1
4312414714904375296,23.7242,21.42773,20.3699,23.77149,20.86378,19.74068,1
7506633171728527360,21.97808,20.22458,19.59856,21.15508,19.32125,18.70955,1
7058385093165510656,22.93506,21.73445,20.77353,21.32124,20.40442,19.83485,1
1085370578245806080,18.60968,17.53354,17.08936,17.42307,16.39821,15.96133,1
4969845432789954560,21.35502,19.86806,19.30392,20.333,18.81635,18.22961,1
7219322536147480576,21.64687,19.9958,19.4069,20.91665,19.12217,18.5122,1
6440392494118793216,22.30314,21.12738,20.03225,21.14955,20.4772,19.14536,1
6726296023956385792,22.07424,20.66418,19.98664,21.21645,18.97643,18.23577,1
4574640538024341504,22.96245,21.16442,20.23822,21.68209,20.81811,19.87181,1
6640643788761657344,23.19512,21.79579,20.6137,22.52877,20.53861,19.43636,1
1032625352066754560,17.8514,17.0341,16.57107,15.82758,14.95818,14.52508,1
6781500849409159168,21.22149,19.87705,19.29216,19.8479,18.34887,17.78367,1
7569627216809226240,23.11967,21.63315,20.524,22.5612,20.64012,19.77086,1
6721820182501322752,22.99147,21.53463,20.38493,21.27043,20.59525,19.91324,1
1863454564884178944,19.29157,18.49282,18.03191,17.33326,16.53314,16.13169,1
5192884385242345472,23.5893,21.90946,20.72769,22.72542,20.82141,19.83426,1
3000571151492605952,20.31036,19.0826,18.54674,18.89778,17.6282,17.11661,1
6913128336185815040,22.85354,21.12551,20.47837,22.03737,19.45227,19.39029,1
7287055476142567424,23.4391,22.00886,20.81098,22.25247,21.10804,19.60553,1
5221989288803758080,22.96118,21.47345,20.39707,22.64208,20.69209,19.67275,1
7862252341255925760,22.6965,21.29411,20.2651,21.72883,20.62498,19.55705,1
5979898321870450688,22.7694,21.37418,20.57783,21.90499,20.7515,19.63663,1
4762595455719370752,22.37188,21.82386,21.28376,21.99926,20.95663,19.17989,1
6817471372865499136,18.39723,17.51266,17.21329,17.02902,16.18081,15.80123,1
2833969856737470464,20.62627,19.82511,19.30477,18.16076,17.45985,17.06284,1
5117260799731757056,22.16238,21.10156,20.03276,21.58251,20.5625,19.62464,1
1058495765686544384,19.04436,18.26695,17.87296,18.47394,17.62892,17.22152,1
6134133141046751232,22.67822,21.70486,20.91302,21.41631,20.34429,19.48802,1
8259773352081289216,22.43447,22.13736,21.71447,22.05238,21.79931,21.69147,1
5012760740206669824,23.40802,21.65777,20.6615,22.49062,20.63605,19.83311,1
8029927041837756416,20.12377,18.96834,18.42187,18.57094,17.25034,16.74019,1
815257673242011648,21.26886,19.39191,18.68827,20.15558,18.36796,17.74898,1
1646176766689044480,19.28708,18.61359,18.24455,17.47587,16.94001,16.58184,1
4968669230427467776,23.21687,21.66382,20.57001,21.56602,20.87392,19.76499,1
5448381752375177216,22.87381,21.47237,20.56982,21.59432,20.55557,19.4971,1
4486859102337298432,21.33823,19.71448,19.2688,20.31243,18.75437,18.12225,1
5690413956649906176,22.6902,21.05263,20.04714,22.57323,20.51155,19.30295,1
2836197467345676288,22.11764,20.48602,19.63643,21.28889,19.39416,18.771,1
4796367779916345344,20.09946,18.85713,18.2437,18.3441,17.25841,16.80269,1
6701624909506473984,23.89825,21.96376,20.89726,22.62251,20.69163,19.87011,1
7432195958358339584,22.6938,21.24512,20.23465,22.3476,20.7838,19.55484,1
515813922301831168,19.54622,18.51821,18.08828,18.31938,17.27055,16.83509,1
5364982145654386688,22.85266,21.05032,20.30554,22.12995,20.19761,19.34004,1
2189937498040330240,20.33854,19.48885,19.4204,17.59826,17.06326,16.77507,1
1559484397655189504,19.96571,19.06608,18.52268,18.32674,17.50337,16.99072,1
6040639742050758656,23.26449,21.50916,20.66493,22.85327,20.76915,19.74127,1
7222694737504563200,22.49279,20.8295,20.1044,20.81643,19.55797,19.01938,1
1842091595961231360,21.39711,19.87859,19.21238,20.65992,19.0476,18.41954,1
4754919764508995584,22.75015,21.33823,20.35199,22.32522,20.65028,19.7433,1
7194663237202931712,22.6831,21.13367,20.37558,21.86589,20.40872,19.60509,1
6891878899555954688,23.20468,21.88389,20.89401,21.92379,20.7368,19.54696,1
514621776349652992,19.494,18.9412,18.57634,17.86294,17.24682,16.87978,1
5413573413296599040,22.63416,20.77106,20.02701,21.84438,19.6933,18.83689,1
8247437107518959616,24.24209,22.95559,21.57026,21.97293,22.70767,20.72737,1
1432284369627670528,19.73425,18.72107,18.31887,18.63163,17.6988,17.04653,1
1861276432534104064,19.98712,18.67717,18.18066,18.87351,17.50126,17.01837,1
5796263116908720128,21.50113,19.78639,19.19369,20.20617,18.7282,18.12816,1
5123029942728847360,22.4809,20.4824,19.86789,20.8987,19.70015,19.1063,1
618195498150422528,21.51697,19.60959,19.08526,19.62428,18.11512,17.67152,1
6725025809004425216,22.71593,21.23592,20.2314,22.5497,20.65952,19.82141,1
1084266393643280384,22.33954,20.54911,19.83085,20.68994,18.48615,18.11907,1
761266703240816640,21.1886,20.43216,20.00937,18.58102,17.87492,17.52607,1
422326575300634624,21.26125,19.48285,18.85619,19.99187,18.03289,17.3788,1
7061717989112606720,22.04981,21.9771,21.77642,22.02146,22.00091,21.81237,1
907494884733118464,20.49081,19.93322,19.34907,19.5972,18.7195,18.06129,1
5764674417268027392,23.44906,21.65291,20.42116,22.81915,20.92284,19.37959,1
6528106304472018944,22.33426,20.46106,19.87342,21.31882,19.56509,18.89206,1
955938264974387200,22.03603,20.35583,19.55915,21.08501,19.31002,18.62321,1
7972712307015479296,22.98117,21.61705,20.40933,21.86887,20.99594,19.64885,1
5142203496254861312,23.05049,21.8758,21.03346,22.2557,20.73268,19.71067,1
2812562633545246720,19.26975,18.87676,18.55657,16.84453,16.27489,15.93462,1
6811731097316683776,22.95789,21.10815,20.00647,22.07599,20.84829,19.58722,1
7211525349170671616,21.23203,19.90843,19.42127,19.57635,18.23187,17.80457,1
4967538383020290048,22.57561,21.01316,20.12317,22.13304,20.1004,19.53038,1
2050288797383419904,20.87545,20.61018,20.5928,18.03567,17.69946,17.59516,1
7496390674414759936,21.7506,19.89482,19.33905,21.38336,19.30026,18.70127,1
4935952440849264640,23.04893,22.26212,21.42407,22.0953,20.81693,19.94295,1
6156607983368990720,22.97286,21.29477,20.21419,22.11181,20.38333,19.37268,1
7310572105312694272,23.19081,21.81789,20.51989,22.94404,21.00163,19.9107,1
1920925761431169024,18.93259,18.22968,17.82772,17.56686,16.71624,16.3087,1
7658444667059105792,23.12702,21.3831,20.35198,22.51143,20.88924,19.7787,1
7189074696355901440,22.81448,21.57061,20.36507,22.33284,20.55144,19.60666,1
