specObjID,fa,fb,fc,fd,fe,ff,fg,z
5996674671058808832,0.9480234,-2.208345,0.9049914,0.158669022437123,0.9904954,1.073623,1.106461,0.8567251
1691194356695853056,1.003756,-1.162573,0.9954471,0.0406132766906654,0.9912706,1.009186,0.01432991,2.916806
7650656001045753856,1.0014,-0.8251476,0.9847025,0.0186622573094989,0.9795321,1.008909,0.02831459,2.727537
7255312849940705280,1.122584,-0.5195122,0.996554,0.0934997172381892,0.9917575,0.9782664,0.2228222,3.252561
2248422446589831168,1.004727,-0.2556534,0.9902881,0.00809785510413779,0.9914716,0.997556,-0.02416992,1.641857
5356049987715919872,1.013074,-3.645391,1.000523,0.0794165081567301,0.986199,1.026342,0.03151131,2.6585
5614906912291876864,1.005864,-0.9270363,0.9971404,0.0402563128488231,0.9978362,1.023796,0.02905083,2.574701
1799354128275630080,0.9966465,-0.1990166,0.9889936,0.0084483930773809,1.010186,1.005452,0.07732964,0.5032819
2220307384914438144,1.002097,-0.1157551,0.9934663,0.0187129082915645,1.00674,0.9984161,-0.009311676,1.728071
832044192308946944,0.9404497,-0.2442741,0.9131706,0.00737929978278321,1.026371,1.090735,1.143587,0.1196762
7597812921553055744,1.003838,-0.2681904,0.9951128,0.0161123364979314,0.9881542,1.007388,0.01658821,2.1254
6438153065337647104,0.9995434,-0.3622475,0.997363,0.0511545184791409,0.9973637,1.016843,0.07430649,2.223102
7111237246699368448,0.9864719,-0.9797325,0.9870318,0.119662015342841,1.005725,1.022949,0.2470398,2.299749
342443479059687424,1.001134,-0.2835159,0.9926392,0.0167636798217193,1.003649,1.008852,0.001857758,2.152597
1452576127317993472,1.003644,-0.6044121,0.9937529,0.0116101805054948,0.9891402,1.004271,0.001438141,0.7581524
4335961026727702528,0.9981475,-0.3747501,1.003332,0.0172875427581965,1.004152,1.010223,0.06021118,0.7465374
8319283871074678784,0.9981118,0.1957493,0.9762174,0.193041827949938,1.011467,1.012258,0.07936478,1.946969
7655201932759986176,0.9957594,-0.6835098,0.9609439,0.244450766915874,1.015054,1.01834,0.7957726,0.1870486
7636100663567118336,0.9869799,-0.5931282,0.9709785,0.110788185999032,1.001879,1.038774,0.3598061,0.839803
5843568502783012864,1.010355,-0.4864578,1.004221,0.0911814507589272,0.9900367,0.9536137,0.05901718,0.8902851
533770872519944192,1.002229,-0.06282997,1.001243,0.021759152956579,0.9886887,0.9863456,-0.01073456,1.104473
4151245821486755840,1.007439,-1.068945,0.9884808,0.0282236484513937,0.9808143,1.01235,-0.004810333,2.878736
4140054991065509888,1.005006,-1.417711,0.9951317,0.0873951253521549,0.9972883,0.9949015,0.007303238,2.911641
834419962008332288,1.003309,-0.5739918,0.9822751,0.0194392797771951,0.9756312,1.02118,0.006706238,2.085167
7263447037281759232,1.005989,-3.410532,0.9917337,0.0470571328525183,0.9481277,1.014256,-0.003955841,3.714118
2203415312043370496,0.9689505,0.1664486,0.9657031,0.00883691260512194,1.001834,1.050119,0.6130638,0.2857488
7690115824166301696,1.008705,-0.03151703,0.9829946,0.0388756806596182,1.011821,1.001337,-0.006345749,1.931064
1539242938209429504,1.003356,-0.1410732,1.001504,0.0158281771769149,0.9921081,0.9931473,-0.002670288,1.290593
7634855196837474304,1.001585,-0.172451,1.008143,0.0277214192097317,0.984508,1.000319,0.004940033,1.061919
7254239727061757952,1.009766,-0.4677563,1.000436,0.0819867605201172,1.004131,0.9790095,-0.006860733,2.202965
850136655657461760,1.002853,-0.1096439,0.9906979,0.0172915209783759,0.9991184,0.9934633,0.02129173,1.720808
1633814957541844992,1.003634,-0.4777641,0.991942,0.0102502241180159,0.9850972,0.9923631,-0.002912521,1.468726
8260895953956564992,1.00476,-0.168478,0.9983584,0.275394966812008,0.9924299,1.009248,0.1785202,2.117453
4904514650001567744,1.002785,-0.07402992,0.9974334,0.0256794501991641,0.9810929,1.002407,0.02268219,1.173457
